Item,Element,Unit,Value,Population size
"Bastfibres, other",Area harvested,ha,1000.0,75440505.0
"Bastfibres, other",Yield,hg/ha,5300.0,75440505.0
"Bastfibres, other",Production,tonnes,530.0,75440505.0
Carrots and turnips,Area harvested,ha,20000.0,75440505.0
Carrots and turnips,Yield,hg/ha,75000.0,75440505.0
Carrots and turnips,Production,tonnes,150000.0,75440505.0
"Cashew nuts, with shell",Area harvested,ha,40000.0,75440505.0
"Cashew nuts, with shell",Yield,hg/ha,6250.0,75440505.0
"Cashew nuts, with shell",Production,tonnes,25000.0,75440505.0
Cassava,Area harvested,ha,1200000.0,75440505.0
Cassava,Yield,hg/ha,91667.0,75440505.0
Cassava,Production,tonnes,11000000.0,75440505.0
"Chillies and peppers, dry",Area harvested,ha,26000.0,75440505.0
"Chillies and peppers, dry",Yield,hg/ha,15385.0,75440505.0
"Chillies and peppers, dry",Production,tonnes,40000.0,75440505.0
"Chillies and peppers, green",Area harvested,ha,70000.0,75440505.0
"Chillies and peppers, green",Yield,hg/ha,90714.0,75440505.0
"Chillies and peppers, green",Production,tonnes,635000.0,75440505.0
Coconuts,Area harvested,ha,35000.0,75440505.0
Coconuts,Yield,hg/ha,28571.0,75440505.0
Coconuts,Production,tonnes,100000.0,75440505.0
"Coffee, green",Area harvested,ha,6000.0,75440505.0
"Coffee, green",Yield,hg/ha,5000.0,75440505.0
"Coffee, green",Production,tonnes,3000.0,75440505.0
"Cow peas, dry",Area harvested,ha,1173000.0,75440505.0
"Cow peas, dry",Yield,hg/ha,4774.0,75440505.0
"Cow peas, dry",Production,tonnes,560000.0,75440505.0
"Fruit, citrus nes",Area harvested,ha,550000.0,75440505.0
"Fruit, citrus nes",Yield,hg/ha,32727.0,75440505.0
"Fruit, citrus nes",Production,tonnes,1800000.0,75440505.0
"Fruit, fresh nes",Area harvested,ha,148000.0,75440505.0
"Fruit, fresh nes",Yield,hg/ha,64189.0,75440505.0
"Fruit, fresh nes",Production,tonnes,950000.0,75440505.0
Garlic,Production,tonnes,,75440505.0
Ginger,Area harvested,ha,1000.0,75440505.0
Ginger,Yield,hg/ha,5000.0,75440505.0
Ginger,Production,tonnes,500.0,75440505.0
"Groundnuts, with shell",Area harvested,ha,650000.0,75440505.0
"Groundnuts, with shell",Yield,hg/ha,8154.0,75440505.0
"Groundnuts, with shell",Production,tonnes,530000.0,75440505.0
Maize,Area harvested,ha,438000.0,75440505.0
Maize,Yield,hg/ha,16438.0,75440505.0
Maize,Production,tonnes,720000.0,75440505.0
"Maize, green",Area harvested,ha,44000.0,75440505.0
"Maize, green",Yield,hg/ha,36364.0,75440505.0
"Maize, green",Production,tonnes,160000.0,75440505.0
"Mangoes, mangosteens, guavas",Area harvested,ha,80000.0,75440505.0
"Mangoes, mangosteens, guavas",Yield,hg/ha,50000.0,75440505.0
"Mangoes, mangosteens, guavas",Production,tonnes,400000.0,75440505.0
Melonseed,Area harvested,ha,92000.0,75440505.0
Melonseed,Yield,hg/ha,8478.0,75440505.0
Melonseed,Production,tonnes,78000.0,75440505.0
Millet,Area harvested,ha,1708000.0,75440505.0
Millet,Yield,hg/ha,15703.0,75440505.0
Millet,Production,tonnes,2682000.0,75440505.0
Nuts nes,Area harvested,ha,,75440505.0
Nuts nes,Production,tonnes,,75440505.0
Oil palm fruit,Area harvested,ha,2000000.0,75440505.0
Oil palm fruit,Yield,hg/ha,25000.0,75440505.0
Oil palm fruit,Production,tonnes,5000000.0,75440505.0
"Onions, dry",Area harvested,ha,30000.0,75440505.0
"Onions, dry",Yield,hg/ha,133333.0,75440505.0
"Onions, dry",Production,tonnes,400000.0,75440505.0
"Onions, shallots, green",Area harvested,ha,10000.0,75440505.0
"Onions, shallots, green",Yield,hg/ha,100000.0,75440505.0
"Onions, shallots, green",Production,tonnes,100000.0,75440505.0
Papayas,Area harvested,ha,55000.0,75440505.0
